User Name,Problem Count,General Ranking,Reputation,Contest Rating,Contest Attended,Global Ranking
abhiramit03,223,562437,0,1689.9642663286943,12,98669
aadhithya-10_11,348,299395,0,1461.223803068462,2,422686
ajay0016,109,1175729,0,1440.3380640333269,4,489840
ajai24,119,1089671,0,1402.1306856448555,10,624329
23AIDS011,169,773070,0,1652.024,4,122807
Abisha5011,209,609592,0,,,
anbuchezhiyan2005,314,351978,2,1427.3816522006712,26,529705
Akash01_2,409,228042,7,1515.0058704439166,20,288105
Adhithiya-G,131,998659,0,1294.682204945896,8,715208
anurakthi-km,123,1058039,0,,,
Afrafathima,264,451035,0,1522.2492331193241,17,274530
user5746UC,146,906510,0,1555.1306315026866,6,221445
Anwarraja7088,506,150571,0,1506.0075876112255,39,306421
arumugavel018,82,1473253,0,,,
2005arun,705,67411,3,1714.6161106234913,45,85675
arshiya9,151,876587,0,1353.859602046476,8,682234
user9539GC,206,620116,0,1567.9109244221036,50,204000
Atharsha_P,114,1131129,0,1554.731,1,222005
athi5453,30,2798007,0,,,
Ashini_27,215,592052,0,1679.1511811112223,20,105081
AtchayaS,170,768209,0,1593.357205818276,12,173852
bavishnaviS,73,1604374,0,1517.6782608032227,1,283030
athikesavanm,206,620158,0,1484.5884729801887,10,357910
chandru2301y,290,397460,0,1564.270500146305,31,208748
charuhasini308,90,1373870,0,1397.4485634251646,2,630790
Balaharan,240,512031,0,1454.194337330191,4,444777
Devdarshan,323,336992,0,1549.6065629891134,5,229489
dhanara,161,813420,0,1583.3003338502276,3,185088
Dhivya_P,160,818750,0,1492.498,3,338318
DHIRAAJ_M,33,2654444,0,,,
m__deepika,275,426377,0,1550.136,11,228682
Estherrani603,133,984613,0,,,
deava_dna_05,417,220020,0,1466.2879382897704,38,407658
divyanagaraj,249,488008,0,1516.2964841427151,23,285667
Hariharashudhan_g_08,42,2311080,0,,,
Gokul_30,331,324178,0,1456.4028549023749,15,437783
harikrishnan20,72,1620379,0,1617.301,7,150613
Harinivash46,64,1758614,0,1471.0779190063477,1,394062
user6404Qf,294,387941,0,1556.813511331608,17,219053
DIVYASREERITHA,142,925059,0,,,
malarharish007,84,1446904,0,1580.7794968182316,6,188074
harsha-049,99,1277056,0,1387.351,3,644410
Haripriya1806,96,1307396,0,,,
hari_smita,660,81952,0,1566.846984739391,14,205353
harishravikumar2005,513,146051,1,1647.3214612504878,46,126169
ifankhan2005,127,1035241,0,1594.5590098801522,15,172639
Jagath_Vishnu,432,208668,0,1445.7542882073258,9,471914
sasirekha_123,115,1122583,0,1294.511986028075,4,715252
harshavarshini_26,117,1106059,0,1410.833,1,607739
Harshawardhini,176,740335,0,1593.9870612350555,3,173235
kishorekannan_g,110,1166661,0,1579.056,1,190020
kamalesh_G_J,162,808034,0,1414.1121368122378,5,572706
kavinsanjay058,0,5000001,0,,,
Kanchimalai15,274,428392,0,1619.2646615064534,28,148886
jeevanantham_S23,426,211402,0,1387.8511368839252,52,643743
kavya_r28,155,846341,0,1551.6745918675474,2,226418
keerthikhaa-2005,97,1296890,0,1442.8081512451172,1,481736
user2772FC,70,1652947,0,,,
user9572cl,174,754077,0,1485.962,3,354424
maharaja_10,157,835098,0,1433.1011521188836,2,512830
lakshana21,241,509305,0,1423.679,1,539235
Manikadan_M_5969,137,957375,0,,,
manojvenkat_18,243,503856,0,1550.2263869991853,19,228538
lalitadi11,82,1473256,0,,,
megalabaskar,361,281989,0,1494.7104889205332,12,333075
Mahasri02,154,851966,0,1488.3849347821258,4,348445
mahendra46,247,493148,0,1422.7794238045406,3,541481
Mithun1706,707,66893,0,1837.5322677757167,18,44623
MaliniAlaguraj,119,1089749,0,1393.057,3,636828
Rafi35,88,1397906,0,1460.741,1,424172
methunams,121,1073933,0,1548.754,2,230730
mohanprasath07,234,529161,0,1365.86,7,669688
Nandhini_18,0,5000001,0,,,
Mohitkalaichelvan,77,1544276,1,,,
Natchatrra_RB_5,364,278172,0,1630.008,2,139701
muthu_visalakshi,167,782908,0,1535.827,7,250851
naveenkumarr5115,37,2486441,0,,,
23AD083,1589,3765,0,1575.8017325647338,20,194032
nishadn,125,1043130,0,,,
